Date,0
2023-06-07,[0.0964552]
2023-06-08,[0.09666419]
2023-06-09,[0.09668585]
2023-06-12,[0.0966907]
2023-06-13,[0.09666869]
2023-06-14,[0.09663958]
2023-06-15,[0.09658948]
2023-06-16,[0.09653901]
2023-06-20,[0.09663505]
2023-06-21,[0.09674136]
2023-06-22,[0.09692791]
2023-06-23,[0.09675025]
2023-06-26,[0.09681415]
2023-06-27,[0.09683374]
2023-06-28,[0.09664981]
2023-06-29,[0.09658972]
2023-06-30,[0.09652905]
2023-07-03,[0.09645606]
2023-07-05,[0.09643092]
2023-07-06,[0.09643759]
2023-07-07,[0.09650053]
2023-07-10,[0.09637013]
2023-07-11,[0.09635742]
2023-07-12,[0.09637669]
2023-07-13,[0.09622931]
2023-07-14,[0.09615397]
2023-07-17,[0.09612749]
2023-07-18,[0.0959072]
2023-07-19,[0.09590372]
2023-07-20,[0.09590048]
2023-07-21,[0.09613133]
2023-07-24,[0.09621898]
2023-07-25,[0.096147]
2023-07-26,[0.09601643]
2023-07-27,[0.0960977]
2023-07-28,[0.09630094]
2023-07-31,[0.09642911]
2023-08-01,[0.096285]
2023-08-02,[0.09626703]
2023-08-03,[0.09670547]
2023-08-04,[0.09690884]
2023-08-07,[0.09740476]
2023-08-08,[0.09768061]
2023-08-09,[0.09789013]
2023-08-10,[0.09800022]
2023-08-11,[0.09792901]
2023-08-14,[0.09793233]
2023-08-15,[0.09789456]
2023-08-16,[0.09772814]
2023-08-17,[0.09769132]
2023-08-18,[0.09762971]
2023-08-21,[0.09762106]
2023-08-22,[0.09767424]
2023-08-23,[0.09767152]
2023-08-24,[0.09762885]
2023-08-25,[0.09789626]
2023-08-28,[0.09776527]
2023-08-29,[0.09775793]
2023-08-30,[0.09789696]
2023-08-31,[0.09768482]
2023-09-01,[0.09761669]
2023-09-05,[0.09725915]
2023-09-06,[0.09706762]
2023-09-07,[0.09721807]
2023-09-08,[0.09739486]
2023-09-11,[0.09744255]
2023-09-12,[0.09742853]
2023-09-13,[0.09761604]
2023-09-14,[0.09761345]
2023-09-15,[0.09755051]
2023-09-18,[0.09776906]
2023-09-19,[0.09788172]
2023-09-20,[0.097854]
2023-09-21,[0.0981522]
2023-09-22,[0.09829764]
2023-09-25,[0.0981119]
2023-09-26,[0.09797632]
2023-09-27,[0.09818099]
2023-09-28,[0.09794472]
2023-09-29,[0.09778536]
2023-10-02,[0.09774207]
2023-10-03,[0.09777688]
2023-10-04,[0.09800027]
2023-10-05,[0.09799352]
2023-10-06,[0.09787729]
2023-10-09,[0.09790871]
2023-10-10,[0.09784202]
2023-10-11,[0.09771523]
2023-10-12,[0.09763179]
2023-10-13,[0.09758908]
2023-10-16,[0.09753259]
2023-10-17,[0.09748536]
2023-10-18,[0.0975266]
2023-10-19,[0.0974725]
2023-10-20,[0.09736221]
2023-10-23,[0.09753085]
2023-10-24,[0.09756676]
2023-10-25,[0.09729479]
2023-10-26,[0.09749931]
2023-10-27,[0.09811626]
2023-10-30,[0.09833974]
2023-10-31,[0.09840718]
2023-11-01,[0.0982374]
2023-11-02,[0.09815852]
2023-11-03,[0.09819028]
2023-11-06,[0.0980249]
2023-11-07,[0.09793946]
2023-11-08,[0.09788481]
2023-11-09,[0.09783777]
2023-11-10,[0.09788984]
2023-11-13,[0.09787826]
2023-11-14,[0.09791258]
2023-11-15,[0.09790336]
2023-11-16,[0.09780473]
2023-11-17,[0.09775291]
2023-11-20,[0.09764513]
2023-11-21,[0.09759678]
2023-11-22,[0.09768413]
2023-11-24,[0.09732512]
2023-11-27,[0.09659709]
2023-11-28,[0.09634528]
2023-11-29,[0.09618059]
2023-11-30,[0.09621299]
2023-12-01,[0.09608236]
2023-12-04,[0.09589601]
2023-12-05,[0.09596217]
2023-12-06,[0.09595676]
2023-12-07,[0.09601721]
2023-12-08,[0.09601746]
2023-12-11,[0.09593474]
2023-12-12,[0.09564544]
2023-12-13,[0.09552141]
2023-12-14,[0.09533355]
2023-12-15,[0.09540044]
2023-12-18,[0.09538591]
2023-12-19,[0.09535547]
2023-12-20,[0.09522031]
2023-12-21,[0.09544386]
2023-12-22,[0.09547479]
2023-12-26,[0.09547427]
2023-12-27,[0.09545113]
2023-12-28,[0.09541719]
2023-12-29,[0.09539122]
2024-01-02,[0.09542347]
2024-01-03,[0.09587675]
